attributes.authors                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,attributes.doi                    ,attributes.isbn                  ,attributes.iso-journal                  ,attributes.issue ,attributes.medline-journal ,attributes.pub-abstract ,attributes.pub-title                                                                                                                                                                                                           ,attributes.pub-type                                                                                                                                                      ,attributes.pub-url                                                         ,attributes.published-year ,attributes.pubmed-central-id ,attributes.pubmed-id ,attributes.raw-pages ,attributes.samples-count ,attributes.studies-count ,attributes.volume                                      ,id       ,links.self                                                      ,relationships.samples.links.related                                     ,relationships.studies.links.related                                     ,type
"Richa K, Balestra C, Piredda R, Benes V, Borra M, Passarelli A, Margiotta F, Saggiomo M, Biffali E, Sanges R, Scanlan DJ, Casotti R."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,10.1128/aem.00494-17              ,0099-2240; 1098-5336;            ,Appl Environ Microbiol                  ,                 ,                           ,                        ,"Distribution, Community Composition, and Potential Metabolic Activity of Bacterioplankton in an Urbanized Mediterranean Sea Coastal Zone."                                                                                    ,journal article                                                                                                                                                          ,                                                                           ,                     2017 ,                             ,2.866711e+07         ,n/a                  ,                      19 ,                       1 ,83                                                     ,28667110 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28667110 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28667110/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28667110/studies ,publications
"Vázquez-Campos X, Kinsela AS, Bligh MW, Harrison JJ, Payne TE, Waite TD."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,10.1128/aem.00729-17              ,0099-2240; 1098-5336;            ,Appl Environ Microbiol                  ,                 ,                           ,                        ,Response of Microbial Community Function to Fluctuating Geochemical Conditions within a Legacy Radioactive Waste Trench Environment.                                                                                           ,journal article                                                                                                                                                          ,                                                                           ,                     2017 ,                             ,2.8667104e+07        ,n/a                  ,                      12 ,                       2 ,83                                                     ,28667104 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28667104 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28667104/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28667104/studies ,publications
"Liu H, Zhang CL, Yang C, Chen S, Cao Z, Zhang Z, Tian J."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,10.3389/fmicb.2017.01098          ,1664-302x                        ,Front Microbiol                         ,                 ,                           ,                        ,Marine Group II Dominates Planktonic Archaea in Water Column of the Northeastern South China Sea.                                                                                                                              ,journal article                                                                                                                                                          ,                                                                           ,                     2017 ,                             ,2.8663746e+07        ,1098                 ,                      25 ,                       1 ,8                                                      ,28663746 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28663746 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28663746/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28663746/studies ,publications
"Tett A, Pasolli E, Farina S, Truong DT, Asnicar F, Zolfo M, Beghini F, Armanini F, Jousson O, De Sanctis V, Bertorelli R, Girolomoni G, Cristofolini M, Segata N."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,10.1038/s41522-017-0022-5         ,2055-5008                        ,NPJ Biofilms Microbiomes                ,                 ,                           ,                        ,Unexplored diversity and strain-level structure of the skin microbiome associated with psoriasis.                                                                                                                              ,journal article                                                                                                                                                          ,                                                                           ,                     2017 ,                             ,2.8649415e+07        ,14                   ,                      73 ,                       1 ,3                                                      ,28649415 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28649415 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28649415/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28649415/studies ,publications
"Hall MW, Singh N, Ng KF, Lam DK, Goldberg MB, Tenenbaum HC, Neufeld JD, G Beiko R, Senadheera DB."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,10.1038/s41522-016-0011-0         ,2055-5008                        ,NPJ Biofilms Microbiomes                ,                 ,                           ,                        ,"Inter-personal diversity and temporal dynamics of dental, tongue, and salivary microbiota in the healthy oral cavity."                                                                                                        ,journal article                                                                                                                                                          ,                                                                           ,                     2017 ,                             ,2.8649403e+07        ,2                    ,                     287 ,                       1 ,3                                                      ,28649403 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28649403 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28649403/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28649403/studies ,publications
"Zeineldin MM, Lowe JF, Grimmer ED, de Godoy MRC, Ghanem MM, Abd El-Raof YM, Aldridge BM."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,10.1186/s12866-017-1042-2         ,1471-2180                        ,BMC Microbiol                           ,                 ,                           ,                        ,Relationship between nasopharyngeal and bronchoalveolar microbial communities in clinically healthy feedlot cattle.                                                                                                            ,journal article                                                                                                                                                          ,                                                                           ,                     2017 ,                             ,2.8645257e+07        ,138                  ,                      16 ,                       1 ,17                                                     ,28645257 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28645257 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28645257/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28645257/studies ,publications
"Martinez-Hernandez F, Fornas O, Lluesma Gomez M, Bolduc B, de la Cruz Peña MJ, Martínez JM, Anton J, Gasol JM, Rosselli R, Rodriguez-Valera F, Sullivan MB, Acinas SG, Martinez-Garcia M."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,10.1038/ncomms15892               ,2041-1723                        ,Nat Commun                              ,                 ,                           ,                        ,Single-virus genomics reveals hidden cosmopolitan and abundant viruses.                                                                                                                                                        ,journal article                                                                                                                                                          ,                                                                           ,                     2017 ,                             ,2.8643787e+07        ,15892                ,                       0 ,                       1 ,8                                                      ,28643787 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28643787 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28643787/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28643787/studies ,publications
"Young GR, Smith DL, Embleton ND, Berrington JE, Schwalbe EC, Cummings SP, van der Gast CJ, Lanyon C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,10.3389/fcimb.2017.00237          ,2235-2988                        ,Front Cell Infect Microbiol             ,                 ,                           ,                        ,Reducing Viability Bias in Analysis of Gut Microbiota in Preterm Infants at Risk of NEC and Sepsis.                                                                                                                            ,journal article                                                                                                                                                          ,                                                                           ,                     2017 ,                             ,2.8634574e+07        ,237                  ,                      73 ,                       1 ,7                                                      ,28634574 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28634574 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28634574/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28634574/studies ,publications
"SanMiguel AJ, Meisel JS, Horwinski J, Zheng Q, Grice EA."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,10.1128/aac.00774-17              ,0066-4804; 1098-6596;            ,Antimicrob Agents Chemother             ,                 ,                           ,                        ,Topical Antimicrobial Treatments Can Elicit Shifts to Resident Skin Bacterial Communities and Reduce Colonization by Staphylococcus aureus Competitors.                                                                        ,journal article                                                                                                                                                          ,                                                                           ,                     2017 ,                             ,2.8630195e+07        ,n/a                  ,                     544 ,                       1 ,61                                                     ,28630195 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28630195 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28630195/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28630195/studies ,publications
"Lanzén A, Lekang K, Jonassen I, Thompson EM, Troedsson C."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,10.1371/journal.pone.0179443      ,1932-6203                        ,PLoS One                                ,                 ,                           ,                        ,DNA extraction replicates improve diversity and compositional dissimilarity in metabarcoding of eukaryotes in marine sediments.                                                                                                ,journal article                                                                                                                                                          ,                                                                           ,                     2017 ,                             ,2.8622351e+07        ,e0179443             ,                       3 ,                       1 ,12                                                     ,28622351 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28622351 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28622351/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28622351/studies ,publications
"Robertsen EM, Denise H, Mitchell A, Finn RD, Bongo LA, Willassen NP."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,10.12688/f1000research.10443.1    ,2046-1402                        ,F1000Res                                ,                 ,                           ,                        ,ELIXIR pilot action: Marine metagenomics - towards a domain specific set of sustainable services.                                                                                                                              ,journal article                                                                                                                                                          ,                                                                           ,                     2017 ,                             ,2.8620454e+07        ,n/a                  ,                       4 ,                       2 ,6                                                      ,28620454 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28620454 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28620454/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28620454/studies ,publications
"Miller M, Zhu C, Bromberg Y."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,10.1515/jib-2017-0020             ,1613-4516                        ,J Integr Bioinform                      ,                 ,                           ,                        ,clubber: removing the bioinformatics bottleneck in big data analyses.                                                                                                                                                          ,journal article                                                                                                                                                          ,                                                                           ,                     2017 ,                             ,2.8609295e+07        ,n/a                  ,                      51 ,                       2 ,14                                                     ,28609295 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28609295 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28609295/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28609295/studies ,publications
"Zhou J, Jiang X, Wei D, Zhao B, Ma M, Chen S, Cao F, Shen D, Guan D, Li J."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,10.1038/s41598-017-03539-6        ,2045-2322                        ,Sci Rep                                 ,                 ,                           ,                        ,Consistent effects of nitrogen fertilization on soil bacterial communities in black soils for two crop seasons in China.                                                                                                       ,journal article                                                                                                                                                          ,                                                                           ,                     2017 ,                             ,2.8607352e+07        ,3267                 ,                       1 ,                       1 ,7                                                      ,28607352 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28607352 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28607352/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28607352/studies ,publications
"Li Z, Wang L."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,10.1128/genomea.00468-17          ,2169-8287                        ,Genome Announc                          ,                 ,                           ,                        ,Metagenomic 16S rRNA Sequencing Analysis of Pacific Oyster (<i>Crassostrea gigas</i>) Microbiota from the Puget Sound Region in the United States.                                                                             ,journal article                                                                                                                                                          ,                                                                           ,                     2017 ,                             ,2.8596398e+07        ,n/a                  ,                      24 ,                       1 ,5                                                      ,28596398 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28596398 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28596398/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28596398/studies ,publications
"Sternes PR, Lee D, Kutyna DR, Borneman AR."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,10.1093/gigascience/gix040        ,2047-217x                        ,Gigascience                             ,                 ,                           ,                        ,A combined meta-barcoding and shotgun metagenomic analysis of spontaneous wine fermentation.                                                                                                                                   ,journal article                                                                                                                                                          ,                                                                           ,                     2017 ,                             ,2.8595314e+07        ,1-10                 ,                      19 ,                       1 ,6                                                      ,28595314 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28595314 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28595314/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28595314/studies ,publications
"Glasl B, Bongaerts P, Elisabeth NH, Hoegh-Guldberg O, Herndl GJ, Frade PR."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,10.1007/s00338-016-1517-x         ,1432-0975                        ,Coral Reefs                             ,                 ,                           ,                        ,Microbiome variation in corals with distinct depth distribution ranges across a shallow-mesophotic gradient (15-85 m).                                                                                                         ,journal article                                                                                                                                                          ,                                                                           ,                     2017 ,                             ,2.8579915e+07        ,447-452              ,                      51 ,                       1 ,36                                                     ,28579915 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28579915 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28579915/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28579915/studies ,publications
"Crovadore J, Gérard F, Chablais R, Cochard B, Bergman Jensen KK, Lefort F."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,10.1128/genomea.00425-17          ,2169-8287                        ,Genome Announc                          ,                 ,                           ,                        ,"Deeper Insight in Beehives: Metagenomes of Royal Jelly, Pollen, and Honey from Lavender, Chestnut, and Fir Honeydew and Epiphytic and Endophytic Microbiota of Lavender and Rose Flowers."                                    ,journal article                                                                                                                                                          ,                                                                           ,                     2017 ,                             ,2.8572315e+07        ,n/a                  ,                       2 ,                       2 ,5                                                      ,28572315 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28572315 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28572315/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28572315/studies ,publications
"Chen X, Andersen TJ, Morono Y, Inagaki F, Jørgensen BB, Lever MA."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,10.1038/s41598-017-02295-x        ,2045-2322                        ,Sci Rep                                 ,                 ,                           ,                        ,Bioturbation as a key driver behind the dominance of Bacteria over Archaea in near-surface sediment.                                                                                                                           ,"research support, non-u.s. gov't; research-article; journal article"                                                                                                    ,                                                                           ,                     2017 ,                             ,2.8546547e+07        ,2400                 ,                      89 ,                       1 ,7                                                      ,28546547 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28546547 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28546547/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28546547/studies ,publications
"Alessi AM, Bird SM, Bennett JP, Oates NC, Li Y, Dowle AA, Polikarpov I, Young JPW, McQueen-Mason SJ, Bruce NC."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,10.1038/s41598-017-02506-5        ,2045-2322                        ,Sci Rep                                 ,                 ,                           ,                        ,Revealing the insoluble metasecretome of lignocellulose-degrading microbial communities.                                                                                                                                       ,journal article                                                                                                                                                          ,                                                                           ,                     2017 ,                             ,2.8539641e+07        ,2356                 ,                       4 ,                       2 ,7                                                      ,28539641 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28539641 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28539641/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28539641/studies ,publications
"Connelly S, Shin SG, Dillon RJ, Ijaz UZ, Quince C, Sloan WT, Collins G."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,10.3389/fmicb.2017.00664          ,1664-302x                        ,Front Microbiol                         ,                 ,                           ,                        ,"Bioreactor Scalability: Laboratory-Scale Bioreactor Design Influences Performance, Ecology, and Community Physiology in Expanded Granular Sludge Bed Bioreactors."                                                            ,journal article                                                                                                                                                          ,                                                                           ,                     2017 ,                             ,2.8507535e+07        ,664                  ,                     222 ,                       1 ,8                                                      ,28507535 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28507535 ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28507535/samples ,https://www.ebi.ac.uk/metagenomics/api/v1/publications/28507535/studies ,publications
