accession,sample-name,geo-loc-name,studies,biome
ERS1069671,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069672,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069673,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069674,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069675,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069676,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069677,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069678,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069679,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069680,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069681,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069682,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069683,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069684,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069685,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069686,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069687,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069688,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069689,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069690,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1069691,stool sample,Netherlands,"MGYS00001420,MGYS00002418",root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138740,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERS1138741,human gut,China,MGYS00001556,root:Host-associated:Human:Digestive system:Large intestine:Fecal
